"Source,Target,Weight"
"Tony Stark,Pepper Potts,10"
"Tony Stark,Obadiah Stane,8"
"Tony Stark,Rhodey,7"
"Tony Stark,Yinsen,6"
"Tony Stark,Jarvis,10"
"Tony Stark,Raza,4"
"Pepper Potts,Obadiah Stane,5"
"Pepper Potts,Rhodey,3"
"Rhodey,Obadiah Stane,4"
"Tony Stark,Christine Everhart,3"
"Tony Stark,Happy Hogan,4"
"Pepper Potts,Happy Hogan,3"
"Tony Stark,Terrorists,8"
"Yinsen,Terrorists,6"
"Tony Stark,Iron Monger,9"
"Tony Stark,SHIELD Agent Coulson,5"
"Pepper Potts,SHIELD Agent Coulson,4"
"Obadiah Stane,Raza,5"
"Iron Monger,Terrorists,7"
